STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100502 11:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100531 13:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100531 14:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 17:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 18:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100630 16:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100630 17:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100701 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100701 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100701 02:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100801 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100801 07:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100801 08:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100831 17:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100831 18:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100901 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100901 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20100901 02:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101001 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101130 16:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101130 17:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101201 02:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20101215 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110102 07:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110102 08:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.9897,-116.5872,20110301 00:00,999.99
